estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
p4,p18,1,-0.84,0.01
p4,p24,21,-1.28,0.14
p4,p26,9,-2.1,0.06
p4,p28,2,-0.84,0.01
p4,p4,46,-1.56,0.3
p4,p5,5,-0.73,0.03
p4,p8,4,-1.79,0.03
p4,p9,5,-1.11,0.03
p42,l43,1,-2.73,1.0
p45,p0,2,-2.73,1.0
p5,b12,2,-2.73,0.02
p5,b13,1,-0.26,0.01
p5,c10,12,-1.95,0.14
p5,c11,2,-1.79,0.02
p5,c27,3,-0.84,0.04
p5,g2,3,-2.73,0.04
p5,g3,2,-2.73,0.02
p5,i16,4,-2.73,0.05
p5,p0,3,-1.91,0.04
p5,p21,1,-2.73,0.01
p5,p24,16,-1.31,0.19
p5,p26,4,-1.79,0.05
p5,p33,2,-1.79,0.02
p5,p4,7,-1.3,0.08
p5,p5,8,-1.08,0.1
p5,p8,1,-0.84,0.01
p5,p9,12,-1.63,0.14
p50,c27,1,-0.02,1.0
p51,p0,1,-0.02,1.0
p8,23,1,-0.84,0.03
p8,c10,1,-2.73,0.03
p8,g2,6,-2.73,0.21
p8,g3,1,-2.73,0.03
p8,i16,1,-2.73,0.03
p8,p37,2,-1.79,0.07
p8,p4,2,-1.79,0.07
p8,p5,5,-1.6,0.17
p8,p8,1,-2.73,0.03
p8,p9,9,-2.04,0.31
p9,b12,2,-2.73,0.01
p9,c10,3,-1.21,0.02
p9,c6,1,-2.73,0.01
p9,c7,2,-1.79,0.01
p9,g2,14,-2.6,0.09
p9,g3,6,-2.73,0.04
p9,j22,1,-2.73,0.01
p9,l14,1,-2.73,0.01
p9,p0,1,-2.73,0.01
p9,p28,1,-0.26,0.01
p9,p37,43,-1.9,0.29
p9,p4,6,-1.06,0.04
p9,p5,10,-1.6,0.07
p9,p8,6,-1.69,0.04
p9,p9,53,-2.08,0.35
